Starting simulation. Press Ctrl-C to exit.
VCD info: dumpfile trace.vcd opened for output.
 [ 174] AD=8129 DI=60 DO=06 WE=0 sync=1 reset=0
[ 178] AD=8110 DI=e8 DO=87 WE=0 sync=1 reset=0
[ 179] AD=8111 DI=80 DO=0f WE=0 sync=1 reset=0
[ 181] AD=8108 DI=bd DO=f7 WE=0 sync=1 reset=0
[ 185] AD=810b DI=f0 DO=0a WE=0 sync=1 reset=0
[ 187] AD=810d DI=20 DO=07 WE=0 sync=1 reset=0
[ 192] AD=8126 DI=8d DO=87 WE=0 sync=1 reset=0
s[ 196] AD=8129 DI=60 DO=07 WE=0 sync=1 reset=0
[ 200] AD=8110 DI=e8 DO=87 WE=0 sync=1 reset=0
[ 201] AD=8111 DI=80 DO=0f WE=0 sync=1 reset=0
[ 203] AD=8108 DI=bd DO=fd WE=0 sync=1 reset=0
[ 207] AD=810b DI=f0 DO=0a WE=0 sync=1 reset=0
[ 209] AD=810d DI=20 DO=0e WE=0 sync=1 reset=0
[ 214] AD=8126 DI=8d DO=89 WE=0 sync=1 reset=0
i[ 218] AD=8129 DI=60 DO=08 WE=0 sync=1 reset=0
[ 222] AD=8110 DI=e8 DO=89 WE=0 sync=1 reset=0
[ 223] AD=8111 DI=80 DO=0f WE=0 sync=1 reset=0
[ 225] AD=8108 DI=bd DO=fd WE=0 sync=1 reset=0
[ 229] AD=810b DI=f0 DO=0a WE=0 sync=1 reset=0
[ 231] AD=810d DI=20 DO=0f WE=0 sync=1 reset=0
[ 236] AD=8126 DI=8d DO=89 WE=0 sync=1 reset=0
m[ 240] AD=8129 DI=60 DO=09 WE=0 sync=1 reset=0
[ 244] AD=8110 DI=e8 DO=89 WE=0 sync=1 reset=0
[ 245] AD=8111 DI=80 DO=0f WE=0 sync=1 reset=0
[ 247] AD=8108 DI=bd DO=ff WE=0 sync=1 reset=0
[ 251] AD=810b DI=f0 DO=0a WE=0 sync=1 reset=0
[ 253] AD=810d DI=20 DO=0e WE=0 sync=1 reset=0
[ 258] AD=8126 DI=8d DO=8b WE=0 sync=1 reset=0
 [ 262] AD=8129 DI=60 DO=0a WE=0 sync=1 reset=0
[ 266] AD=8110 DI=e8 DO=8b WE=0 sync=1 reset=0
[ 267] AD=8111 DI=80 DO=0f WE=0 sync=1 reset=0
[ 269] AD=8108 DI=bd DO=ff WE=0 sync=1 reset=0
[ 273] AD=810b DI=f0 DO=0a WE=0 sync=1 reset=0
[ 275] AD=810d DI=20 DO=0f WE=0 sync=1 reset=0
[ 280] AD=8126 DI=8d DO=8b WE=0 sync=1 reset=0
r[ 284] AD=8129 DI=60 DO=0b WE=0 sync=1 reset=0
[ 288] AD=8110 DI=e8 DO=8b WE=0 sync=1 reset=0
[ 289] AD=8111 DI=80 DO=0f WE=0 sync=1 reset=0
[ 291] AD=8108 DI=bd DO=fd WE=0 sync=1 reset=0
[ 295] AD=810b DI=f0 DO=0a WE=0 sync=1 reset=0
[ 297] AD=810d DI=20 DO=0e WE=0 sync=1 reset=0
[ 302] AD=8126 DI=8d DO=8d WE=0 sync=1 reset=0
e[ 306] AD=8129 DI=60 DO=0c WE=0 sync=1 reset=0
[ 310] AD=8110 DI=e8 DO=8d WE=0 sync=1 reset=0
[ 311] AD=8111 DI=80 DO=0f WE=0 sync=1 reset=0
[ 313] AD=8108 DI=bd DO=fd WE=0 sync=1 reset=0
[ 317] AD=810b DI=f0 DO=0a WE=0 sync=1 reset=0
[ 319] AD=810d DI=20 DO=0f WE=0 sync=1 reset=0
[ 324] AD=8126 DI=8d DO=8d WE=0 sync=1 reset=0
a[ 328] AD=8129 DI=60 DO=0d WE=0 sync=1 reset=0
[ 332] AD=8110 DI=e8 DO=8d WE=0 sync=1 reset=0
[ 333] AD=8111 DI=80 DO=0f WE=0 sync=1 reset=0
[ 335] AD=8108 DI=bd DO=ff WE=0 sync=1 reset=0
[ 339] AD=810b DI=f0 DO=0a WE=0 sync=1 reset=0
[ 341] AD=810d DI=20 DO=0e WE=0 sync=1 reset=0
[ 346] AD=8126 DI=8d DO=8f WE=0 sync=1 reset=0
d[ 350] AD=8129 DI=60 DO=0e WE=0 sync=1 reset=0
[ 354] AD=8110 DI=e8 DO=8f WE=0 sync=1 reset=0
[ 355] AD=8111 DI=80 DO=0f WE=0 sync=1 reset=0
[ 357] AD=8108 DI=bd DO=ff WE=0 sync=1 reset=0
[ 361] AD=810b DI=f0 DO=0a WE=0 sync=1 reset=0
[ 363] AD=810d DI=20 DO=0f WE=0 sync=1 reset=0
[ 368] AD=8126 DI=8d DO=8f WE=0 sync=1 reset=0
y[ 372] AD=8129 DI=60 DO=0f WE=0 sync=1 reset=0
[ 376] AD=8110 DI=e8 DO=8f WE=0 sync=1 reset=0
[ 377] AD=8111 DI=80 DO=0f WE=0 sync=1 reset=0
[ 379] AD=8108 DI=bd DO=f5 WE=0 sync=1 reset=0
[ 383] AD=810b DI=f0 DO=0a WE=0 sync=1 reset=0
[ 385] AD=810d DI=20 DO=16 WE=0 sync=1 reset=0
[ 390] AD=8126 DI=8d DO=91 WE=0 sync=1 reset=0
.[ 394] AD=8129 DI=60 DO=10 WE=0 sync=1 reset=0
[ 398] AD=8110 DI=e8 DO=91 WE=0 sync=1 reset=0
[ 399] AD=8111 DI=80 DO=0f WE=0 sync=1 reset=0
[ 401] AD=8108 DI=bd DO=f5 WE=0 sync=1 reset=0
[ 405] AD=810b DI=f0 DO=0a WE=0 sync=1 reset=0
[ 407] AD=810d DI=20 DO=17 WE=0 sync=1 reset=0
[ 412] AD=8126 DI=8d DO=91 WE=0 sync=1 reset=0
 [ 416] AD=8129 DI=60 DO=11 WE=0 sync=1 reset=0
[ 420] AD=8110 DI=e8 DO=91 WE=0 sync=1 reset=0
[ 421] AD=8111 DI=80 DO=0f WE=0 sync=1 reset=0
[ 423] AD=8108 DI=bd DO=f7 WE=0 sync=1 reset=0
[ 427] AD=810b DI=f0 DO=0a WE=0 sync=1 reset=0
